,features,loss,int_rep
676,01100101000,0.5128991537371553,808
621,01100101001,0.5075164172975223,809
649,01100101010,0.511252386794808,810
588,01100101011,0.5033288557555677,811
312,01100101100,0.476674850111352,812
220,01100101101,0.470687322203831,813
308,01100101110,0.4764570937297184,814
237,01100101111,0.4715233806931937,815
1478,01100110000,0.5683319927868347,816
1082,01100110001,0.5446652234392916,817
1496,01100110010,0.569498002892672,818
1105,01100110011,0.5455256989310694,819
1451,01100110100,0.566385465291682,820
958,01100110101,0.5364204107316227,821
1440,01100110110,0.5661348513855705,822
946,01100110111,0.5346606088800806,823
1392,01100111000,0.5628098536067249,824
992,01100111001,0.5405598737795272,825
1397,01100111010,0.5635609925092033,826
1006,01100111011,0.5413135174561665,827
1369,01100111100,0.5610406922261625,828
929,01100111101,0.5310986976896653,829
1353,01100111110,0.5601755172876833,830
916,01100111111,0.5302856431412298,831
909,01101000000,0.5300103741915132,832
687,01101000001,0.5134369360113477,833
809,01101000010,0.5247606123207174,834
653,01101000011,0.511706960397131,835
416,01101000100,0.4846212136875408,836
299,01101000101,0.4760362100144442,837
426,01101000110,0.4857187208401274,838
279,01101000111,0.4752654712559837,839
762,01101001000,0.5178779447777366,840
756,01101001001,0.5174346239602042,841
618,01101001010,0.5070514145217648,842
635,01101001011,0.5096370885465082,843
305,01101001100,0.4762393456208111,844
249,01101001101,0.4727297338517858,845
327,01101001110,0.477459287902672,846
256,01101001111,0.4734103957013515,847
1413,01101010000,0.564719861027233,848
1052,01101010001,0.5439004693062411,849
1437,01101010010,0.5660931464653362,850
1085,01101010011,0.5447070543582286,851
1326,01101010100,0.5582172713288382,852
862,01101010101,0.5282155480522981,853
1330,01101010110,0.5584904022810677,854
857,01101010111,0.5280269763675183,855
1367,01101011000,0.5609123779179743,856
989,01101011001,0.540271683415829,857
1376,01101011010,0.5616411300260831,858
996,01101011011,0.5406677448594578,859
1237,01101011100,0.5536057643298704,860
799,01101011101,0.5238092575736293,861
1234,01101011110,0.5534031527180374,862
795,01101011111,0.5236115109868005,863
903,01101100000,0.5298752336360973,864
611,01101100001,0.5061274020417514,865
777,01101100010,0.5199223752357772,866
608,01101100011,0.505240417567384,867
420,01101100100,0.4851595049170262,868
284,01101100101,0.4755130476786202,869
425,01101100110,0.4855896382845079,870
272,01101100111,0.474755901238686,871
684,01101101000,0.5133062369946736,872
606,01101101001,0.5051197377161746,873
559,01101101010,0.500666781670094,874
539,01101101011,0.4979377141400086,875
273,01101101100,0.474926673363956,876
189,01101101101,0.4679805419280908,877
274,01101101110,0.4750163190568696,878
199,01101101111,0.4686061925811466,879
1403,01101110000,0.5640151510045056,880
1047,01101110001,0.5437234975097927,881
1411,01101110010,0.5645947778022022,882
1055,01101110011,0.5439927212397733,883
1279,01101110100,0.5554960224443478,884
847,01101110101,0.5275225872992089,885
1280,01101110110,0.5555774444198142,886
849,01101110111,0.527545011363069,887
1339,01101111000,0.5592293879772207,888
979,01101111001,0.5397446585111434,889
1347,01101111010,0.5597768566376305,890
988,01101111011,0.5402436568346679,891
1215,01101111100,0.5512409630813114,892
798,01101111101,0.5237917877850465,893
1211,01101111110,0.5509313038042323,894
793,01101111111,0.5235219862343637,895
784,01110000000,0.5222632415647875,896
632,01110000001,0.5091010854581263,897
788,01110000010,0.5230929592142367,898
642,01110000011,0.5102557108662339,899
328,01110000100,0.477492115096804,900
208,01110000101,0.4696337673339095,901
341,01110000110,0.4782342145743684,902
231,01110000111,0.4712700281911436,903
753,01110001000,0.5170997232266435,904
691,01110001001,0.5136473916983229,905
725,01110001010,0.515423683807877,906
658,01110001011,0.5119249015585615,907
229,01110001100,0.4711969677964367,908
174,01110001101,0.4667982548915192,909
230,01110001110,0.4712619339390808,910
187,01110001111,0.4679592592015123,911
1515,01110010000,0.5714793206812686,912
1118,01110010001,0.5459059692644368,913
1533,01110010010,0.5729841359097263,914
1148,01110010011,0.5470361793872367,915
1481,01110010100,0.5684672467760433,916
955,01110010101,0.5361097092859057,917
1462,01110010110,0.5676177397824503,918
947,01110010111,0.5347498749492535,919
1435,01110011000,0.5660338888810015,920
1009,01110011001,0.5413710408626018,921
1444,01110011010,0.5662623642829628,922
1014,01110011011,0.5416995431271704,923
1381,01110011100,0.5618739116084546,924
924,01110011101,0.5307571840499012,925
1370,01110011110,0.5612245055045189,926
907,01110011111,0.5299379969451753,927
686,01110100000,0.5134099695099325,928
557,01110100001,0.5003283244557039,929
666,01110100010,0.5122469611972331,930
563,01110100011,0.5010904723084586,931
353,01110100100,0.479068571396111,932
227,01110100101,0.4710358764332295,933
357,01110100110,0.4795123573703989,934
248,01110100111,0.4724709679957265,935
607,01110101000,0.5052158536954271,936
555,01110101001,0.5000992178581333,937
576,01110101010,0.5025641581601318,938
547,01110101011,0.4988284601433248,939
228,01110101100,0.4711318092651794,940
151,01110101101,0.4648213795178784,941
216,01110101110,0.4702512692578044,942
170,01110101111,0.4664154448191034,943
1501,01110110000,0.569910975448345,944
1121,01110110001,0.545965955240366,945
1512,01110110010,0.5707071522145151,946
1135,01110110011,0.5464926284364066,947
1439,01110110100,0.5661269771086129,948
951,01110110101,0.5356397166607088,949
1421,01110110110,0.565452409936633,950
942,01110110111,0.5343854342640756,951
1406,01110111000,0.5644438062636512,952
1004,01110111001,0.5411982804464833,953
1407,01110111010,0.5645020002150697,954
1017,01110111011,0.5418604071956465,955
1360,01110111100,0.560640701586149,956
932,01110111101,0.531243395093544,957
1350,01110111110,0.5600714592424549,958
902,01110111111,0.5297852261829902,959
771,01111000000,0.5190155491021635,960
631,01111000001,0.5086091036775631,961
750,01111000010,0.5169401956054969,962
623,01111000011,0.5076430138511627,963
292,01111000100,0.4757707943661267,964
233,01111000101,0.4713543989468177,965
310,01111000110,0.4764804753769595,966
219,01111000111,0.470657477001809,967
550,01111001000,0.4993432505330856,968
582,01111001001,0.5030548577517673,969
531,01111001010,0.4967402507447683,970
551,01111001011,0.4994153818662626,971
214,01111001100,0.4700214257422265,972
183,01111001101,0.4678796683856397,973
232,01111001110,0.4712979051658976,974
182,01111001111,0.4676564703444676,975
1445,01111010000,0.5662891649867844,976
1072,01111010001,0.5443442771858142,977
1457,01111010010,0.5670093870524244,978
1095,01111010011,0.5450700996115266,979
1325,01111010100,0.5581845361750045,980
875,01111010101,0.528729794149796,981
1321,01111010110,0.5580943923677915,982
869,01111010111,0.5283334018416254,983
1383,01111011000,0.5619351603065856,984
981,01111011001,0.5399729985543752,985
1388,01111011010,0.56244805410661,986
994,01111011011,0.5406556592371172,987
1236,01111011100,0.5535317291057418,988
807,01111011101,0.5245394205140238,989
1229,01111011110,0.5530376443490109,990
801,01111011111,0.5240801679735054,991
657,01111100000,0.511849546130323,992
537,01111100001,0.4975537218825222,993
612,01111100010,0.5062152089153362,994
508,01111100011,0.4940646705988736,995
288,01111100100,0.4756173791753397,996
177,01111100101,0.466936878031616,997
287,01111100110,0.4755930507003432,998
180,01111100111,0.4672781627528405,999
484,01111101000,0.4916600243905815,1000
498,01111101001,0.4933412016707895,1001
457,01111101010,0.4893535127385634,1002
462,01111101011,0.4900655435752722,1003
181,01111101100,0.4674936950836384,1004
126,01111101101,0.4621740293702032,1005
188,01111101110,0.4679768953597085,1006
131,01111101111,0.4632176176163639,1007
1410,01111110000,0.5645769656954639,1008
1051,01111110001,0.5438204177059655,1009
1417,01111110010,0.565052879687472,1010
1067,01111110011,0.5442748484609955,1011
1275,01111110100,0.5553159904262371,1012
854,01111110101,0.5277974635960362,1013
1271,01111110110,0.5551371775121793,1014
836,01111110111,0.5273078634945615,1015
1352,01111111000,0.5601099481937694,1016
977,01111111001,0.5395808261391695,1017
1358,01111111010,0.56043776731073,1018
985,01111111011,0.5400615526505315,1019
1210,01111111100,0.5507435317169618,1020
797,01111111101,0.5237774798376513,1021
1207,01111111110,0.5506332997651262,1022
790,01111111111,0.5234455036979763,1023
1981,10000000000,0.6524673366158771,1024
810,10000000001,0.5248687744254522,1025
1909,10000000010,0.6397092355106836,1026
761,10000000011,0.5178764654392924,1027
1910,10000000100,0.6398260622640294,1028
137,10000000101,0.4637288381122603,1029
1946,10000000110,0.6456161547906036,1030
115,10000000111,0.4610885019761611,1031
2030,10000001000,0.6623884256648688,1032
614,10000001001,0.5066082248518791,1033
1949,10000001010,0.6462527729054264,1034
567,10000001011,0.5018841455157452,1035
1978,10000001100,0.6522211117793001,1036
129,10000001101,0.4627899468858487,1037
1992,10000001110,0.6534702832513232,1038
132,10000001111,0.4632454681476411,1039
1700,10000010000,0.5914580901958588,1040
1328,10000010001,0.558397442407015,1041
1673,10000010010,0.5878032758467329,1042
1345,10000010011,0.5594487126513009,1043
1681,10000010100,0.5889465016701819,1044
1203,10000010101,0.5503930675710753,1045
1665,10000010110,0.5868338547248533,1046
1213,10000010111,0.5509984489685646,1047
1657,10000011000,0.5846785998270054,1048
1294,10000011001,0.5565324821107822,1049
1651,10000011010,0.5841658721809688,1050
1306,10000011011,0.5569989530328101,1051
1653,10000011100,0.5844152464576244,1052
1187,10000011101,0.548913957571132,1053
1642,10000011110,0.5835369466387087,1054
1182,10000011111,0.5487288043238605,1055
1964,10000100000,0.6490235954211349,1056
468,10000100001,0.4905269004863548,1057
1928,10000100010,0.6423345520584811,1058
438,10000100011,0.4872739993126099,1059
1945,10000100100,0.6456035511774616,1060
51,10000100101,0.4552318607133401,1061
1961,10000100110,0.6483006119390522,1062
58,10000100111,0.4561419394909458,1063
2016,10000101000,0.6592351816622276,1064
569,10000101001,0.5020418757669319,1065
1927,10000101010,0.6423160051951526,1066
459,10000101011,0.4896269221858605,1067
1972,10000101100,0.6511938020719114,1068
90,10000101101,0.4592634840767178,1069
1982,10000101110,0.6524761298972248,1070
89,10000101111,0.4592142294728323,1071
1627,10000110000,0.5820558561493467,1072
1292,10000110001,0.5564219418170653,1073
1635,10000110010,0.5827243991421417,1074
